activity,max_depth,min_samples_leaf,baseline_mae,baseline_rmse,tree_mae,tree_rmse,tree_r2,n_test,n_train,source_eventlog
LL_delivery,3.0,50,6.377384962145881,9.667825116052313,5.696348387128182,8.483249768455643,0.2297493987559922,1536,6142,s6_train.csv
LL_delivery,5.0,5,6.377384962145881,9.667825116052313,5.672660223883099,8.454091983880442,0.23503515719298484,1536,6142,s6_train.csv
LL_delivery,5.0,10,6.377384962145881,9.667825116052313,5.756508169824943,8.595871689373613,0.20916225980769032,1536,6142,s6_train.csv
LL_delivery,5.0,20,6.377384962145881,9.667825116052313,5.727197661815306,8.541772521188403,0.2190854027647583,1536,6142,s6_train.csv
LL_delivery,5.0,50,6.377384962145881,9.667825116052313,5.682135115426843,8.385871952052875,0.24733106541608563,1536,6142,s6_train.csv
LL_delivery,8.0,5,6.377384962145881,9.667825116052313,5.958380533804925,9.324518740598204,0.06940569500889249,1536,6142,s6_train.csv
LL_delivery,8.0,10,6.377384962145881,9.667825116052313,6.070957088781294,9.34399464634158,0.06551421379953992,1536,6142,s6_train.csv
LL_delivery,8.0,20,6.377384962145881,9.667825116052313,6.035421414114705,9.176072396771088,0.09879996297912219,1536,6142,s6_train.csv
LL_delivery,8.0,50,6.377384962145881,9.667825116052313,5.805489854594732,8.710047755830736,0.18801387067847497,1536,6142,s6_train.csv
LL_delivery,,5,6.377384962145881,9.667825116052313,6.077139395254629,9.506162093294956,0.032796256338171736,1536,6142,s6_train.csv
LL_delivery,,10,6.377384962145881,9.667825116052313,6.027207213065349,9.20781048966896,0.09255506123260482,1536,6142,s6_train.csv
LL_delivery,,20,6.377384962145881,9.667825116052313,6.20580321822749,9.286106824370238,0.07705698183231602,1536,6142,s6_train.csv
LL_delivery,,50,6.377384962145881,9.667825116052313,5.82695838093112,8.737272271325986,0.1829299774045725,1536,6142,s6_train.csv
LL_mixed,2.0,5,5.247904546433957,8.003341957353657,4.649321593180343,7.054967440697907,0.22242258649516533,715,2856,s6_train.csv
LL_mixed,2.0,10,5.247904546433957,8.003341957353657,4.649321593180343,7.054967440697907,0.22242258649516533,715,2856,s6_train.csv
LL_mixed,2.0,20,5.247904546433957,8.003341957353657,4.649321593180343,7.054967440697907,0.22242258649516533,715,2856,s6_train.csv
LL_mixed,2.0,50,5.247904546433957,8.003341957353657,4.612317420882052,6.892016366778916,0.25792771862201014,715,2856,s6_train.csv
LL_mixed,3.0,5,5.247904546433957,8.003341957353657,5.2272985726960455,7.590107566001299,0.09998557353240123,715,2856,s6_train.csv
LL_mixed,3.0,10,5.247904546433957,8.003341957353657,5.201550986948461,7.568421036141271,0.10512128624342443,715,2856,s6_train.csv
LL_mixed,3.0,20,5.247904546433957,8.003341957353657,5.208269713467233,7.5613516411512975,0.1067922547324992,715,2856,s6_train.csv
LL_mixed,3.0,50,5.247904546433957,8.003341957353657,5.111046776882382,7.300609143224045,0.16733213284700965,715,2856,s6_train.csv
LL_mixed,5.0,5,5.247904546433957,8.003341957353657,5.306409870293033,8.005162538397688,-0.0011379355321825546,715,2856,s6_train.csv
LL_mixed,5.0,10,5.247904546433957,8.003341957353657,5.263645664801555,7.990157019232921,0.002611773390729155,715,2856,s6_train.csv
LL_mixed,5.0,20,5.247904546433957,8.003341957353657,5.226769672468691,7.833230306267551,0.0414044678943698,715,2856,s6_train.csv
LL_mixed,5.0,50,5.247904546433957,8.003341957353657,5.125209837499075,7.564318827182314,0.10609110137224254,715,2856,s6_train.csv
LL_mixed,8.0,5,5.247904546433957,8.003341957353657,5.38643787884943,8.216857062379292,-0.05478774146179366,715,2856,s6_train.csv
LL_mixed,8.0,10,5.247904546433957,8.003341957353657,5.36459591299541,8.223756072256117,-0.05655971970904772,715,2856,s6_train.csv
LL_mixed,8.0,20,5.247904546433957,8.003341957353657,5.383072092820492,8.251173560561034,-0.06361647154115446,715,2856,s6_train.csv
LL_mixed,8.0,50,5.247904546433957,8.003341957353657,5.07326209749123,7.53042013489455,0.11408506487687808,715,2856,s6_train.csv
LL_mixed,,5,5.247904546433957,8.003341957353657,5.889808524808526,8.643950422344195,-0.16728833108771224,715,2856,s6_train.csv
LL_mixed,,10,5.247904546433957,8.003341957353657,5.661389981394907,8.483735746226095,-0.12441822064032859,715,2856,s6_train.csv
LL_mixed,,20,5.247904546433957,8.003341957353657,5.468403207062749,8.271293489977733,-0.06880990960611078,715,2856,s6_train.csv
LL_mixed,,50,5.247904546433957,8.003341957353657,5.068242109555857,7.511044014882997,0.11863819999053293,715,2856,s6_train.csv
LL_receive,2.0,5,6.512639457703715,11.887242059209337,6.559927341574559,11.499883993704973,0.02405831791137991,146,582,s6_train.csv
LL_receive,2.0,10,6.512639457703715,11.887242059209337,6.559927341574559,11.499883993704973,0.02405831791137991,146,582,s6_train.csv
LL_receive,2.0,20,6.512639457703715,11.887242059209337,6.559927341574559,11.499883993704973,0.02405831791137991,146,582,s6_train.csv
LL_receive,2.0,50,6.512639457703715,11.887242059209337,6.600373906045096,11.532785605117944,0.01846591575244816,146,582,s6_train.csv
LL_receive,3.0,5,6.512639457703715,11.887242059209337,6.88117355810978,12.223175243753024,-0.1025670886481016,146,582,s6_train.csv
LL_receive,3.0,10,6.512639457703715,11.887242059209337,6.5459307187573526,11.912293910430536,-0.0471954546895903,146,582,s6_train.csv
LL_receive,3.0,20,6.512639457703715,11.887242059209337,7.208700103302151,11.827626594269034,-0.03236235204736193,146,582,s6_train.csv
LL_receive,3.0,50,6.512639457703715,11.887242059209337,6.775899247384856,11.802043737314536,-0.027901234638084693,146,582,s6_train.csv
LL_receive,5.0,5,6.512639457703715,11.887242059209337,7.576593314050778,12.94041481713265,-0.23575775547065758,146,582,s6_train.csv
LL_receive,5.0,10,6.512639457703715,11.887242059209337,7.2261836190793085,12.347889606830341,-0.12518108925207083,146,582,s6_train.csv
LL_receive,5.0,20,6.512639457703715,11.887242059209337,7.122784674684242,11.789498380003126,-0.025717115552452485,146,582,s6_train.csv
LL_receive,5.0,50,6.512639457703715,11.887242059209337,6.754380717941986,11.782214280353713,-0.024450035759207456,146,582,s6_train.csv
LL_receive,8.0,5,6.512639457703715,11.887242059209337,7.768039527583061,13.278366749012347,-0.30114670898409246,146,582,s6_train.csv
