case:concept:name,concept:name,org:resource,enabled:timestamp,start:timestamp,time:timestamp,process_flow_type,visit_complexity,target_rank,target_area,has_reefer,n_receives,target_demand_bin,mt_utilization,target_demand,n_stops,rmg_demand,mt_demand,target_rank_group,vc_utilization,n_deliveries,rmg_utilization,target_utilization,vc_demand,gate_demand,gate_utilization,full_ratio,target_utilization_bin,has_hazardous,primary_target_area,n_containers
case_16,Gate Out,Res.GateOut,2026-04-20 18:36:00,2026-04-20 18:40:00,2026-04-20 18:40:00,delivery,3,,MT,0,0,very_high,0.8334,24.75,1,92.2,24.75,non_rmg,0.42,1,0.5268,0.8334,12.55,114.7,0.5634,0.0,very_high,0,MT,1
case_6,Gate Out,Res.GateOut,2026-04-20 18:37:00,2026-04-20 18:42:00,2026-04-20 18:42:00,mixed,8,16.0,T11,0,1,medium,0.847,5.22,2,64.97,11.95,low,0.473,1,0.5661,0.4791,18.83,108.67,0.603,0.5,low,0,T11,2
case_7,Gate Out,Res.GateOut,2026-04-20 18:29:00,2026-04-20 18:43:00,2026-04-20 18:43:00,receive,5,,MT,0,1,very_high,0.7568,21.27,1,135.5,21.27,non_rmg,0.4684,0,0.52,0.7568,24.93,151.5,0.55,1.0,very_high,0,MT,1
case_10,RMG_receive,T06,2026-04-20 18:25:00,2026-04-20 18:43:00,2026-04-20 18:49:00,mixed,11,15.0,T06,0,1,low,0.8594,3.53,2,30.37,7.9,low,0.4906,1,0.61,0.4306,5.53,35.43,0.63,1.0,low,0,T06,2
case_18,Gate Out,Res.GateOut,2026-04-20 18:38:00,2026-04-20 18:43:00,2026-04-20 18:43:00,receive,5,8.0,T16,0,1,medium,0.7645,5.73,1,52.2,12.28,mid,0.4655,0,0.59,0.65,11.35,98.97,0.6,1.0,high,0,T16,1
case_15,Gate Out,Res.GateOut,2026-04-20 18:35:00,2026-04-20 18:44:00,2026-04-20 18:44:00,delivery,3,,MT,0,0,very_high,0.8341,23.88,1,85.87,23.88,non_rmg,0.5259,1,0.6159,0.8341,15.57,109.48,0.6359,0.0,very_high,0,MT,1
case_19,HO2_mixed,HO2,2026-04-20 18:29:00,2026-04-20 18:44:00,2026-04-20 18:59:00,receive,5,8.0,T25,0,1,low,0.82,2.9,1,37.5,12.27,mid,0.53,0,0.6291,0.7082,6.73,47.97,0.6491,1.0,high,0,T25,1
case_11,Gate Out,Res.GateOut,2026-04-20 18:30:00,2026-04-20 18:45:00,2026-04-20 18:45:00,delivery,3,7.0,T26,0,0,high,0.9149,8.85,1,116.3,5.05,mid,0.4698,1,0.5851,0.69,40.4,150.75,0.62,0.0,high,0,T26,1
case_24,Gate In,Res.GateIn,2026-04-20 18:46:00,2026-04-20 18:46:00,2026-04-20 18:46:00,receive,4,7.0,T13,0,1,medium,0.8582,6.9,1,116.33,33.03,mid,0.45,0,0.5791,0.7009,19.77,167.8,0.6091,1.0,high,0,T13,1
case_25,Gate In,Res.GateIn,2026-04-20 18:46:00,2026-04-20 18:46:00,2026-04-20 18:46:00,delivery,3,,MT,0,0,very_high,0.8318,21.73,1,103.0,21.73,non_rmg,0.5,1,0.5082,0.8318,41.53,136.13,0.56,0.0,very_high,0,MT,1
