FAHRPLAN_UID;reason
TP_15475162603;missing_critical_timestamp
TP_15475172603;missing_critical_timestamp
TP_15475232603;missing_critical_timestamp
TP_15475252603;missing_critical_timestamp
TP_15475312603;missing_critical_timestamp
TP_15475502603;missing_critical_timestamp
TP_15475642603;missing_critical_timestamp
TP_15475692603;missing_critical_timestamp
TP_15475862603;missing_critical_timestamp
TP_15475872603;missing_critical_timestamp
TP_15476132603;missing_critical_timestamp
TP_15476332603;missing_critical_timestamp
TP_15476342603;missing_critical_timestamp
TP_15476392603;missing_critical_timestamp
TP_15476472603;missing_critical_timestamp
TP_15476682603;missing_critical_timestamp
TP_15476692603;missing_critical_timestamp
TP_15476822603;missing_critical_timestamp
TP_15476852603;missing_critical_timestamp
TP_15476912603;missing_critical_timestamp
TP_15476972603;missing_critical_timestamp
TP_15477002603;missing_critical_timestamp
TP_15477052603;missing_critical_timestamp
TP_15477922603;missing_critical_timestamp
TP_15477932603;missing_critical_timestamp
TP_15477962603;missing_critical_timestamp
TP_15478002603;missing_critical_timestamp
TP_15478022603;missing_critical_timestamp
TP_15478172603;missing_critical_timestamp
TP_15478182603;missing_critical_timestamp
TP_15478192603;missing_critical_timestamp
TP_15478402603;missing_critical_timestamp
TP_15478442603;missing_critical_timestamp
TP_15478492603;missing_critical_timestamp
TP_15478532603;missing_critical_timestamp
TP_15478662603;missing_critical_timestamp
TP_15478812603;missing_critical_timestamp
TP_15478872604;missing_critical_timestamp
TP_15478882604;missing_critical_timestamp
TP_15478932604;missing_critical_timestamp
TP_15478952604;missing_critical_timestamp
TP_15479212603;missing_critical_timestamp
TP_15479312604;missing_critical_timestamp
TP_15479382604;missing_critical_timestamp
TP_15479392604;missing_critical_timestamp
TP_15479402604;missing_critical_timestamp
TP_15479412604;missing_critical_timestamp
TP_15479472604;missing_critical_timestamp
TP_15479512604;missing_critical_timestamp
TP_15479562604;missing_critical_timestamp
TP_15479652604;missing_critical_timestamp
TP_15479692604;missing_critical_timestamp
TP_15479772604;missing_critical_timestamp
TP_15479802604;missing_critical_timestamp
TP_15479862604;missing_critical_timestamp
TP_15479872604;missing_critical_timestamp
TP_15479882604;missing_critical_timestamp
TP_15479932604;missing_critical_timestamp
TP_15480042604;missing_critical_timestamp
TP_15480132604;missing_critical_timestamp
TP_15480172604;missing_critical_timestamp
TP_15480292604;missing_critical_timestamp
TP_15480332603;missing_critical_timestamp
TP_15480452603;missing_critical_timestamp
TP_15480552604;missing_critical_timestamp
TP_15480622604;missing_critical_timestamp
TP_15480712604;missing_critical_timestamp
TP_15480822604;missing_critical_timestamp
TP_15480872604;missing_critical_timestamp
TP_15480882604;missing_critical_timestamp
TP_15480932604;missing_critical_timestamp
TP_15480972604;missing_critical_timestamp
TP_15481042604;missing_critical_timestamp
TP_15481072604;missing_critical_timestamp
TP_15481762603;missing_critical_timestamp
TP_15481872603;missing_critical_timestamp
TP_15481902603;missing_critical_timestamp
TP_15481912603;missing_critical_timestamp
TP_15482412604;missing_critical_timestamp
TP_15482462604;missing_critical_timestamp
TP_15482482604;missing_critical_timestamp
TP_15482532604;missing_critical_timestamp
TP_15482592604;missing_critical_timestamp
TP_15482762604;missing_critical_timestamp
TP_15482912604;missing_critical_timestamp
TP_15483042604;missing_critical_timestamp
TP_15483062604;missing_critical_timestamp
TP_15483102604;missing_critical_timestamp
TP_15483132604;missing_critical_timestamp
TP_15483202604;missing_critical_timestamp
TP_15483252604;missing_critical_timestamp
TP_15483312604;missing_critical_timestamp
TP_15483392604;missing_critical_timestamp
TP_15483442604;missing_critical_timestamp
TP_15483452604;missing_critical_timestamp
TP_15483472604;missing_critical_timestamp
TP_15483502604;missing_critical_timestamp
TP_15483512604;missing_critical_timestamp
TP_15483522604;missing_critical_timestamp
TP_15483592604;missing_critical_timestamp
TP_15483652604;missing_critical_timestamp
TP_15483672604;missing_critical_timestamp
TP_15483752604;missing_critical_timestamp
TP_15483802604;missing_critical_timestamp
TP_15483832604;missing_critical_timestamp
TP_15483862604;missing_critical_timestamp
TP_15483892604;missing_critical_timestamp
TP_15483912604;missing_critical_timestamp
TP_15484052604;missing_critical_timestamp
TP_15484132604;missing_critical_timestamp
TP_15484252604;missing_critical_timestamp
TP_15484282604;missing_critical_timestamp
TP_15484332604;missing_critical_timestamp
TP_15484362604;missing_critical_timestamp
TP_15484372604;missing_critical_timestamp
TP_15484862604;missing_critical_timestamp
TP_15485042604;missing_critical_timestamp
TP_15485152604;missing_critical_timestamp
TP_15485172604;missing_critical_timestamp
TP_15485202604;missing_critical_timestamp
TP_15485312604;missing_critical_timestamp
TP_15485332604;missing_critical_timestamp
TP_15485452604;missing_critical_timestamp
TP_15485502604;missing_critical_timestamp
TP_15485632604;missing_critical_timestamp
TP_15485712604;missing_critical_timestamp
TP_15485782604;missing_critical_timestamp
TP_15486292604;missing_critical_timestamp
TP_15486512604;missing_critical_timestamp
TP_15486552604;missing_critical_timestamp
TP_15486602604;missing_critical_timestamp
TP_15486932604;missing_critical_timestamp
TP_15487182604;missing_critical_timestamp
TP_15487232604;missing_critical_timestamp
TP_15487242604;missing_critical_timestamp
TP_15487282604;missing_critical_timestamp
TP_15487302604;missing_critical_timestamp
TP_15487482604;missing_critical_timestamp
TP_15487522604;missing_critical_timestamp
TP_15487712604;missing_critical_timestamp
TP_15487872604;missing_critical_timestamp
TP_15488002604;missing_critical_timestamp
TP_15488022604;missing_critical_timestamp
TP_15488092604;missing_critical_timestamp
TP_15488112604;missing_critical_timestamp
TP_15488152604;missing_critical_timestamp
TP_15488192604;missing_critical_timestamp
TP_15488202604;missing_critical_timestamp
TP_15488222604;missing_critical_timestamp
TP_15488392604;missing_critical_timestamp
TP_15488502604;missing_critical_timestamp
TP_15488532604;missing_critical_timestamp
TP_15488622604;missing_critical_timestamp
TP_15488822604;missing_critical_timestamp
TP_15488852604;missing_critical_timestamp
TP_15488922604;missing_critical_timestamp
TP_15489042604;missing_critical_timestamp
TP_15489122604;missing_critical_timestamp
TP_15489152604;missing_critical_timestamp
TP_15489172604;missing_critical_timestamp
TP_15489232604;missing_critical_timestamp
TP_15489292604;missing_critical_timestamp
TP_15489412604;missing_critical_timestamp
TP_15489822604;missing_critical_timestamp
TP_15489902604;missing_critical_timestamp
TP_15489932604;missing_critical_timestamp
TP_15490132604;missing_critical_timestamp
TP_15490302604;missing_critical_timestamp
TP_15490372604;missing_critical_timestamp
TP_15490392604;missing_critical_timestamp
TP_15490452604;missing_critical_timestamp
TP_15490532604;missing_critical_timestamp
TP_15490602604;missing_critical_timestamp
TP_15490712604;missing_critical_timestamp
TP_15490792604;missing_critical_timestamp
TP_15490872604;missing_critical_timestamp
TP_15490962604;missing_critical_timestamp
TP_15491002604;missing_critical_timestamp
TP_15491162604;missing_critical_timestamp
TP_15491212604;missing_critical_timestamp
TP_15491242604;missing_critical_timestamp
TP_15491312604;missing_critical_timestamp
TP_15491422604;missing_critical_timestamp
TP_15491432604;missing_critical_timestamp
TP_15491482604;missing_critical_timestamp
TP_15491582604;missing_critical_timestamp
TP_15491692604;missing_critical_timestamp
TP_15491792604;missing_critical_timestamp
TP_15492122604;missing_critical_timestamp
TP_15492302604;missing_critical_timestamp
TP_15492312604;missing_critical_timestamp
TP_15492412604;missing_critical_timestamp
TP_15492442604;missing_critical_timestamp
TP_15492462604;missing_critical_timestamp
TP_15492492604;missing_critical_timestamp
TP_15492542604;missing_critical_timestamp
TP_15492652604;missing_critical_timestamp
TP_15492782604;missing_critical_timestamp
TP_15493142604;missing_critical_timestamp
TP_15493162604;missing_critical_timestamp
TP_15493272604;missing_critical_timestamp
TP_15493332604;missing_critical_timestamp
TP_15493352604;missing_critical_timestamp
TP_15493402604;missing_critical_timestamp
TP_15493462604;missing_critical_timestamp
TP_15493502604;missing_critical_timestamp
TP_15493552604;missing_critical_timestamp
TP_15493582604;missing_critical_timestamp
TP_15493742604;missing_critical_timestamp
TP_15493752604;missing_critical_timestamp
TP_15493782604;missing_critical_timestamp
TP_15493802604;missing_critical_timestamp
TP_15493922604;missing_critical_timestamp
TP_15494112604;missing_critical_timestamp
TP_15494142604;missing_critical_timestamp
TP_15494202604;missing_critical_timestamp
TP_15494242604;missing_critical_timestamp
TP_15494442604;missing_critical_timestamp
TP_15494462604;missing_critical_timestamp
TP_15494522604;missing_critical_timestamp
TP_15494612604;missing_critical_timestamp
TP_15494792604;missing_critical_timestamp
TP_15494832604;missing_critical_timestamp
TP_15494922604;missing_critical_timestamp
TP_15494942604;missing_critical_timestamp
TP_15494992604;missing_critical_timestamp
TP_15495152604;missing_critical_timestamp
TP_15495282604;missing_critical_timestamp
TP_15495292604;missing_critical_timestamp
TP_15495382604;missing_critical_timestamp
TP_15495412604;missing_critical_timestamp
TP_15495462604;missing_critical_timestamp
TP_15495532604;missing_critical_timestamp
TP_15495992604;missing_critical_timestamp
TP_15496042604;missing_critical_timestamp
TP_15496082604;missing_critical_timestamp
TP_15496242604;missing_critical_timestamp
TP_15496252604;missing_critical_timestamp
TP_15496282604;missing_critical_timestamp
TP_15496442604;missing_critical_timestamp
TP_15496492604;missing_critical_timestamp
TP_15496502604;missing_critical_timestamp
TP_15496532604;missing_critical_timestamp, runtime_gt_12h
TP_15496642604;missing_critical_timestamp
TP_15496652604;missing_critical_timestamp
TP_15496732604;missing_critical_timestamp
TP_15496772604;missing_critical_timestamp
TP_15496792604;missing_critical_timestamp
TP_15496842604;missing_critical_timestamp
TP_15497012604;missing_critical_timestamp
TP_15497022604;missing_critical_timestamp
TP_15497092604;missing_critical_timestamp
TP_15497132604;missing_critical_timestamp
TP_15497512604;missing_critical_timestamp
TP_15497542604;missing_critical_timestamp
TP_15498272604;missing_critical_timestamp
TP_15498322604;missing_critical_timestamp
TP_15498402604;missing_critical_timestamp
TP_15498552604;missing_critical_timestamp
TP_15498592604;missing_critical_timestamp
TP_15498632604;missing_critical_timestamp
TP_15498702604;missing_critical_timestamp
TP_15498812604;missing_critical_timestamp
