variant,count,cum_coverage
"('Gate In', 'RMG_mixed', 'RMG_mixed', 'LL_mixed', 'LL_mixed', 'Gate Out')",1,0.9997876098280758
"('Gate In', 'LL_delivery', 'RMG_receive', 'RMG_receive', 'RMG_receive', 'Gate Out')",1,0.999798788258177
"('Gate In', 'RMG_delivery', 'RMG_delivery', 'HO2_receive', 'HO2_receive', 'HO2_receive', 'HO2_receive', 'Gate Out')",1,0.9998099666882783
"('Gate In', 'RMG_receive', 'RMG_receive', 'HO2_receive', 'HO2_receive', 'Gate Out')",1,0.9998211451183796
"('Gate In', 'RMG_receive', 'LL_delivery', 'Gate Out')",1,0.9998323235484808
"('Gate In', 'RMG_receive', 'HO2_receive', 'HO2_receive', 'Gate Out')",1,0.9998435019785822
"('Gate In', 'RMG_mixed', 'RMG_mixed', 'RMG_mixed', 'RMG_mixed', 'RMG_mixed', 'RMG_mixed', 'Gate Out')",1,0.9998546804086834
"('Gate In', 'RMG_mixed', 'RMG_mixed', 'LL_receive', 'LL_receive', 'Gate Out')",1,0.9998658588387846
"('Gate In', 'RMG_mixed', 'HO2_receive', 'RMG_mixed', 'Gate Out')",1,0.999877037268886
"('Gate In', 'RMG_delivery', 'RMG_delivery', 'RMG_delivery', 'Gate Out')",1,0.9998882156989872
"('Gate In', 'LL_mixed', 'RMG_receive', 'RMG_receive', 'RMG_receive', 'Gate Out')",1,0.9998993941290885
"('Gate In', 'LL_mixed', 'HO2_delivery', 'RMG_mixed', 'Gate Out')",1,0.9999105725591898
"('Gate In', 'LL_mixed', 'RMG_receive', 'RMG_receive', 'Gate Out')",1,0.999921750989291
"('Gate In', 'LL_mixed', 'RMG_receive', 'HO2_receive', 'Gate Out')",1,0.9999329294193924
"('Gate In', 'LL_mixed', 'RMG_receive', 'HO2_mixed', 'Gate Out')",1,0.9999441078494936
"('Gate In', 'LL_mixed', 'LL_mixed', 'RMG_receive', 'RMG_receive', 'HO2_mixed', 'HO2_mixed', 'Gate Out')",1,0.9999552862795948
"('Gate In', 'LL_mixed', 'LL_mixed', 'LL_mixed', 'RMG_mixed', 'RMG_mixed', 'RMG_mixed', 'Gate Out')",1,0.9999664647096962
"('Gate In', 'LL_mixed', 'HO2_receive', 'RMG_receive', 'Gate Out')",1,0.9999776431397974
"('Gate In', 'LL_mixed', 'HO2_mixed', 'RMG_receive', 'Gate Out')",1,0.9999888215698988
"('Gate In', 'HO2_delivery', 'HO2_delivery', 'HO2_delivery', 'Gate Out')",1,1.0
