case:concept:name,concept:name,org:resource,enabled:timestamp,start:timestamp,time:timestamp,target_utilization_bin,full_ratio,process_flow_type,target_demand,target_utilization,target_area,n_stops,n_receives,target_rank,gate_demand,rmg_demand,n_deliveries,rmg_utilization,mt_utilization,has_hazardous,target_rank_group,gate_utilization,has_reefer,primary_target_area,vc_utilization,target_demand_bin,vc_demand,mt_demand,n_containers,visit_complexity
case_32,LL_delivery,LL,2026-04-20 18:31:00,2026-04-20 18:33:00,2026-04-20 18:39:00,very_high,1.0,receive,25.48,0.75,MT,1,1,,173.02,141.5,0,0.6,0.75,0,non_rmg,0.59,0,MT,0.393,very_high,51.32,25.48,1,4
case_18,RMG_receive,T07,2026-04-20 18:25:00,2026-04-20 18:34:00,2026-04-20 18:49:00,high,1.0,receive,5.73,0.65,T16,1,1,8.0,98.97,52.2,0,0.59,0.7645,0,mid,0.6,0,T16,0.4655,medium,11.35,12.28,1,5
case_22,RMG_delivery,T23,2026-04-20 18:27:00,2026-04-20 18:34:00,2026-04-20 18:37:00,high,1.0,delivery,6.17,0.6744,T14,1,0,3.0,152.47,120.3,1,0.5444,0.74,0,top_3,0.5544,0,T14,0.4056,medium,20.87,32.5,1,4
case_29,LL_delivery,LL,2026-04-20 18:30:00,2026-04-20 18:35:00,2026-04-20 18:39:00,low,1.0,receive,4.6,0.5027,T09,1,1,15.0,38.4,30.6,0,0.5613,0.81,0,low,0.6013,0,T09,0.5713,medium,9.4,8.27,1,4
case_20,RMG_delivery,T12,2026-04-20 18:26:00,2026-04-20 18:36:00,2026-04-20 18:40:00,very_high,1.0,mixed,8.35,0.7689,T23,1,1,2.0,166.0,126.55,1,0.6289,0.8222,0,top_3,0.64,0,T23,0.5311,high,22.0,19.75,2,13
case_23,RMG_receive,T22,2026-04-20 18:32:00,2026-04-20 18:36:00,2026-04-20 19:08:00,low,1.0,receive,4.6,0.458,T13,1,1,12.0,185.0,122.4,0,0.45,0.87,0,low,0.508,0,T13,0.35,medium,36.0,37.2,1,5
case_13,Gate Out,Res.GateOut,2026-04-20 18:31:00,2026-04-20 18:37:00,2026-04-20 18:37:00,low,1.0,delivery,4.0,0.43,T06,1,0,12.0,38.0,32.0,1,0.61,0.86,0,low,0.63,0,T06,0.49,low,6.0,10.0,1,3
case_17,Gate Out,Res.GateOut,2026-04-20 18:34:00,2026-04-20 18:37:00,2026-04-20 18:37:00,high,1.0,receive,4.27,0.6637,T11,1,1,10.0,147.33,120.4,0,0.5868,0.9132,0,mid,0.62,0,T11,0.4663,low,32.2,5.73,1,5
case_15,Gate Out,Res.GateOut,2026-04-20 18:31:00,2026-04-20 18:38:00,2026-04-20 18:38:00,very_high,0.0,delivery,23.88,0.8341,MT,1,0,,109.48,85.87,1,0.6159,0.8341,0,non_rmg,0.6359,0,MT,0.5259,very_high,15.57,23.88,1,3
case_31,RMG_receive,T17,2026-04-20 18:31:00,2026-04-20 18:38:00,2026-04-20 18:47:00,very_high,0.5,mixed,5.13,0.7851,T21,1,1,1.0,92.97,96.37,1,0.61,0.8351,0,top_3,0.6351,1,T21,0.5251,medium,28.27,0.0,2,14
case_4,Gate Out,Res.GateOut,2026-04-20 18:33:00,2026-04-20 18:39:00,2026-04-20 18:39:00,high,1.0,receive,6.27,0.6664,T15,1,1,9.0,148.17,119.4,0,0.5864,0.9136,0,mid,0.62,0,T15,0.4672,medium,34.2,5.57,1,5
case_33,Gate In,Res.GateIn,2026-04-20 18:41:00,2026-04-20 18:41:00,2026-04-20 18:41:00,very_high,0.0,delivery,39.62,0.8111,MT,1,0,,156.5,136.3,1,0.52,0.8111,0,non_rmg,0.5505,0,MT,0.4105,very_high,18.22,39.62,1,2
case_5,Gate Out,Res.GateOut,2026-04-20 18:35:00,2026-04-20 18:42:00,2026-04-20 18:42:00,very_high,1.0,mixed,13.47,0.7497,T22,1,1,2.0,173.53,115.47,1,0.6,0.75,1,top_3,0.5948,0,T22,0.3997,very_high,25.6,25.87,2,15
case_22,Gate Out,Res.GateOut,2026-04-20 18:37:00,2026-04-20 18:42:00,2026-04-20 18:42:00,high,1.0,delivery,6.17,0.6744,T14,1,0,3.0,152.47,120.3,1,0.5444,0.74,0,top_3,0.5544,0,T14,0.4056,medium,20.87,32.5,1,4
case_34,Gate In,Res.GateIn,2026-04-20 18:42:00,2026-04-20 18:42:00,2026-04-20 18:42:00,medium,1.0,delivery,3.83,0.586,T16,1,0,7.0,35.67,26.0,1,0.47,0.86,0,mid,0.54,0,T16,0.5,low,9.83,2.92,1,4
case_25,Gate Out,Res.GateOut,2026-04-20 18:34:00,2026-04-20 18:45:00,2026-04-20 18:45:00,very_high,0.0,delivery,21.73,0.8318,MT,1,0,,136.13,103.0,1,0.5082,0.8318,0,non_rmg,0.56,0,MT,0.5,very_high,41.53,21.73,1,3
case_8,Gate Out,Res.GateOut,2026-04-20 18:33:00,2026-04-20 18:46:00,2026-04-20 18:46:00,low,1.0,receive,31.83,0.47,VC,1,1,,196.83,136.08,0,0.6127,0.8727,0,non_rmg,0.6327,0,VC,0.47,very_high,31.83,39.17,1,5
case_14,Gate Out,Res.GateOut,2026-04-20 18:33:00,2026-04-20 18:47:00,2026-04-20 18:47:00,low,1.0,receive,30.17,0.4741,VC,1,1,,185.0,143.08,0,0.58,0.9,0,non_rmg,0.618,0,VC,0.4741,very_high,30.17,20.08,1,4
case_29,Gate Out,Res.GateOut,2026-04-20 18:39:00,2026-04-20 18:47:00,2026-04-20 18:47:00,low,1.0,receive,4.6,0.5027,T09,1,1,15.0,38.4,30.6,0,0.5613,0.81,0,low,0.6013,0,T09,0.5713,medium,9.4,8.27,1,4
case_35,Gate In,Res.GateIn,2026-04-20 18:47:00,2026-04-20 18:47:00,2026-04-20 18:47:00,medium,1.0,receive,5.77,0.5831,T16,1,1,11.0,163.17,135.0,0,0.52,0.8769,0,low,0.5569,0,T16,0.3669,medium,10.13,24.2,1,4
case_2,Gate Out,Res.GateOut,2026-04-20 18:30:00,2026-04-20 18:48:00,2026-04-20 18:48:00,high,1.0,delivery,9.9,0.6895,T11,1,0,11.0,182.6,152.45,1,0.6195,0.85,0,low,0.6395,0,T11,0.5286,high,24.1,27.17,1,4
case_36,Gate In,Res.GateIn,2026-04-20 18:48:00,2026-04-20 18:48:00,2026-04-20 18:48:00,medium,1.0,receive,0.15,0.6179,T18,1,1,2.0,19.2,17.9,0,0.5279,0.8521,0,top_3,0.56,0,T18,0.42,low,0.15,6.15,1,5
case_37,Gate In,Res.GateIn,2026-04-20 18:48:00,2026-04-20 18:48:00,2026-04-20 18:48:00,very_high,0.5,mixed,4.93,0.7699,T21,1,1,4.0,85.53,99.5,1,0.59,0.7899,0,mid,0.62,0,T21,0.5798,medium,30.63,18.2,2,11
case_24,Gate Out,Res.GateOut,2026-04-20 18:37:00,2026-04-20 18:49:00,2026-04-20 18:49:00,high,1.0,receive,6.9,0.7009,T13,1,1,7.0,167.8,116.33,0,0.5791,0.8582,0,mid,0.6091,0,T13,0.45,medium,19.77,33.03,1,4
case_35,RMG_receive,T12,2026-04-20 18:47:00,2026-04-20 18:49:00,2026-04-20 19:00:00,medium,1.0,receive,5.77,0.5831,T16,1,1,11.0,163.17,135.0,0,0.52,0.8769,0,low,0.5569,0,T16,0.3669,medium,10.13,24.2,1,4
case_38,Gate In,Res.GateIn,2026-04-20 18:49:00,2026-04-20 18:49:00,2026-04-20 18:49:00,low,1.0,receive,10.67,0.4579,VC,1,1,,92.83,64.33,0,0.58,0.7242,0,non_rmg,0.586,0,VC,0.4579,high,10.67,20.83,1,4
case_1,Gate Out,Res.GateOut,2026-04-20 18:25:00,2026-04-20 18:50:00,2026-04-20 18:50:00,medium,1.0,receive,3.42,0.5121,T09,1,1,17.0,112.42,77.33,0,0.62,0.8179,0,low,0.64,0,T09,0.524,low,9.58,19.0,1,4
case_10,Gate Out,Res.GateOut,2026-04-20 18:29:00,2026-04-20 18:50:00,2026-04-20 18:50:00,low,1.0,mixed,3.53,0.4306,T06,2,1,15.0,35.43,30.37,1,0.61,0.8594,0,low,0.63,0,T06,0.4906,low,5.53,7.9,2,11
case_36,LL_receive,LL,2026-04-20 18:48:00,2026-04-20 18:50:00,2026-04-20 19:08:00,medium,1.0,receive,0.15,0.6179,T18,1,1,2.0,19.2,17.9,0,0.5279,0.8521,0,top_3,0.56,0,T18,0.42,low,0.15,6.15,1,5
case_39,Gate In,Res.GateIn,2026-04-20 18:50:00,2026-04-20 18:50:00,2026-04-20 18:50:00,medium,1.0,receive,31.0,0.58,VC,1,1,,175.23,145.77,0,0.5589,0.83,0,non_rmg,0.6089,0,VC,0.58,very_high,31.0,23.7,1,7
case_40,Gate In,Res.GateIn,2026-04-20 18:50:00,2026-04-20 18:50:00,2026-04-20 18:50:00,medium,1.0,delivery,5.63,0.54,T27,1,0,15.0,168.42,135.63,1,0.5367,0.8567,0,low,0.5767,0,T27,0.42,medium,8.1,34.78,1,4
case_41,Gate In,Res.GateIn,2026-04-20 18:50:00,2026-04-20 18:50:00,2026-04-20 18:50:00,medium,1.0,receive,10.0,0.6198,T23,1,1,8.0,181.75,144.08,0,0.5498,0.74,0,mid,0.5598,0,T23,0.4002,high,22.58,25.92,1,4
case_42,Gate In,Res.GateIn,2026-04-20 18:50:00,2026-04-20 18:50:00,2026-04-20 18:50:00,very_high,1.0,receive,6.4,0.74,T18,1,1,6.0,186.3,140.4,0,0.6168,0.8735,0,mid,0.6368,0,T18,0.49,medium,25.2,27.3,1,5
case_43,Gate In,Res.GateIn,2026-04-20 18:50:00,2026-04-20 18:50:00,2026-04-20 18:50:00,low,1.0,receive,6.0,0.48,T06,1,1,15.0,171.15,135.5,0,0.5829,0.9029,0,low,0.6129,0,T06,0.4529,medium,34.2,7.45,1,5
case_44,Gate In,Res.GateIn,2026-04-20 18:50:00,2026-04-20 18:50:00,2026-04-20 18:50:00,low,1.0,receive,2.5,0.4744,T16,1,1,12.0,18.5,12.25,0,0.44,0.81,0,low,0.5,0,T16,0.4056,low,1.75,8.25,1,4
case_45,Gate In,Res.GateIn,2026-04-20 18:50:00,2026-04-20 18:50:00,2026-04-20 18:50:00,very_high,0.0,receive,6.2,0.75,T24,1,1,3.0,159.0,112.2,0,0.6195,0.8795,0,top_3,0.6395,0,T24,0.47,medium,25.8,33.4,1,4
case_46,Gate In,Res.GateIn,2026-04-20 18:50:00,2026-04-20 18:50:00,2026-04-20 18:50:00,medium,0.0,delivery,5.23,0.62,T12,1,0,15.0,116.73,101.5,1,0.58,0.9,0,low,0.61,1,T12,0.45,medium,24.55,8.45,1,5
case_34,RMG_delivery,T08,2026-04-20 18:42:00,2026-04-20 18:51:00,2026-04-20 19:04:00,medium,1.0,delivery,3.83,0.586,T16,1,0,7.0,35.67,26.0,1,0.47,0.86,0,mid,0.54,0,T16,0.5,low,9.83,2.92,1,4
