case:concept:name,concept:name,org:resource,enabled:timestamp,start:timestamp,time:timestamp,rmg_demand,target_demand,target_rank_group,target_area,full_ratio,has_reefer,rmg_utilization,target_utilization_bin,mt_utilization,gate_demand,vc_demand,n_receives,gate_utilization,n_containers,process_flow_type,n_stops,primary_target_area,target_utilization,target_demand_bin,vc_utilization,target_rank,n_deliveries,mt_demand,visit_complexity,has_hazardous
case_15,Gate Out,Res.GateOut,2026-04-20 18:30:00,2026-04-20 18:39:00,2026-04-20 18:39:00,85.87,23.88,non_rmg,MT,0.0,0,0.6159,very_high,0.8341,109.48,15.57,0,0.6359,1,delivery,1,MT,0.8341,very_high,0.5259,,1,23.88,3,0
case_11,Gate Out,Res.GateOut,2026-04-20 18:23:00,2026-04-20 18:40:00,2026-04-20 18:40:00,116.3,8.85,mid,T26,0.0,0,0.5851,high,0.9149,150.75,40.4,0,0.62,1,delivery,1,T26,0.69,high,0.4698,7.0,1,5.05,3,0
case_14,Gate Out,Res.GateOut,2026-04-20 18:29:00,2026-04-20 18:43:00,2026-04-20 18:43:00,143.08,30.17,non_rmg,VC,1.0,0,0.58,low,0.9,185.0,30.17,1,0.618,1,receive,1,VC,0.4741,very_high,0.4741,,0,20.08,4,0
case_21,RMG_receive,T19,2026-04-20 18:30:00,2026-04-20 18:43:00,2026-04-20 18:47:00,82.4,1.8,mid,T19,1.0,1,0.61,high,0.8335,71.2,17.8,1,0.6335,1,receive,1,T19,0.7135,low,0.5235,8.0,0,0.0,7,0
case_23,Gate Out,Res.GateOut,2026-04-20 18:38:00,2026-04-20 18:43:00,2026-04-20 18:43:00,122.4,4.6,low,T13,1.0,0,0.45,low,0.87,185.0,36.0,1,0.508,1,receive,1,T13,0.458,medium,0.35,12.0,0,37.2,5,0
case_3,Gate Out,Res.GateOut,2026-04-20 18:40:00,2026-04-20 18:45:00,2026-04-20 18:45:00,135.3,7.7,top_3,T21,1.0,0,0.4908,medium,0.8115,144.6,12.8,1,0.5308,1,receive,1,T21,0.63,high,0.4,2.0,0,11.5,5,0
case_12,Gate Out,Res.GateOut,2026-04-20 18:30:00,2026-04-20 18:45:00,2026-04-20 18:45:00,127.0,10.73,low,T09,1.0,0,0.55,low,0.8154,171.0,32.2,1,0.5646,1,receive,1,T09,0.2616,high,0.3846,20.0,0,22.07,4,0
case_24,Gate In,Res.GateIn,2026-04-20 18:46:00,2026-04-20 18:46:00,2026-04-20 18:46:00,116.33,6.9,mid,T13,1.0,0,0.5791,high,0.8582,167.8,19.77,1,0.6091,1,receive,1,T13,0.7009,medium,0.45,7.0,0,33.03,4,0
case_25,Gate In,Res.GateIn,2026-04-20 18:46:00,2026-04-20 18:46:00,2026-04-20 18:46:00,103.0,21.73,non_rmg,MT,0.0,0,0.5082,very_high,0.8318,136.13,41.53,0,0.56,1,delivery,1,MT,0.8318,very_high,0.5,,1,21.73,3,0
case_19,RMG_receive,T25,2026-04-20 18:29:00,2026-04-20 18:47:00,2026-04-20 18:57:00,37.5,2.9,mid,T25,1.0,0,0.6291,high,0.82,47.97,6.73,1,0.6491,1,receive,1,T25,0.7082,low,0.53,8.0,0,12.27,5,0
case_26,Gate In,Res.GateIn,2026-04-20 18:47:00,2026-04-20 18:47:00,2026-04-20 18:47:00,115.5,11.8,mid,T14,0.0,0,0.45,medium,0.87,181.2,36.3,0,0.5072,1,delivery,1,T14,0.5172,very_high,0.35,10.0,1,38.7,2,0
case_27,Gate In,Res.GateIn,2026-04-20 18:47:00,2026-04-20 18:47:00,2026-04-20 18:47:00,67.33,14.9,non_rmg,VC,1.0,0,0.61,low,0.87,94.23,14.9,1,0.63,1,receive,1,VC,0.47,very_high,0.47,,0,26.03,7,0
case_28,Gate In,Res.GateIn,2026-04-20 18:47:00,2026-04-20 18:47:00,2026-04-20 18:47:00,21.35,1.95,mid,T10,1.0,0,0.61,high,0.87,28.65,2.95,2,0.63,2,receive,2,T10,0.6916,low,0.4784,7.0,0,6.0,10,0
case_29,Gate In,Res.GateIn,2026-04-20 18:47:00,2026-04-20 18:47:00,2026-04-20 18:47:00,30.6,4.6,low,T09,1.0,0,0.5613,low,0.81,38.4,9.4,1,0.6013,1,receive,1,T09,0.5027,medium,0.5713,15.0,0,8.27,4,0
case_24,RMG_receive,T13,2026-04-20 18:46:00,2026-04-20 18:48:00,2026-04-20 19:02:00,116.33,6.9,mid,T13,1.0,0,0.5791,high,0.8582,167.8,19.77,1,0.6091,1,receive,1,T13,0.7009,medium,0.45,7.0,0,33.03,4,0
case_30,Gate In,Res.GateIn,2026-04-20 18:49:00,2026-04-20 18:49:00,2026-04-20 18:49:00,69.6,9.77,top_3,T14,0.0,0,0.5976,high,0.7048,71.97,6.0,0,0.5924,1,delivery,1,T14,0.6876,high,0.47,3.0,1,3.2,3,0
case_31,Gate In,Res.GateIn,2026-04-20 18:50:00,2026-04-20 18:50:00,2026-04-20 18:50:00,96.37,5.13,top_3,T21,0.5,1,0.61,very_high,0.8351,92.97,28.27,1,0.6351,2,mixed,1,T21,0.7851,medium,0.5251,1.0,1,0.0,14,0
