bucket_minutes,fold,model,mae,rmse,r2,max_depth,min_samples_leaf
60,3,pooled_mean,54.709702270895555,60.22112051657743,-0.03358846826138007,,
60,3,time_aware_tree,30.516320050276484,49.05037405989604,0.31429922783411546,3.0,5.0
60,3,time_aware_tree,28.89089068180654,48.768771155569226,0.3221499748763115,5.0,5.0
60,3,time_aware_tree,28.858517057251234,48.741862342799955,0.3228977938949521,5.0,10.0
60,3,time_aware_tree,28.77714486638537,48.59780245637091,0.32689432231441906,8.0,5.0
60,3,time_aware_tree,28.845253164556965,48.595906588418906,0.3269468388697584,,5.0
60,4,pooled_mean,56.57712093120451,63.49622845107631,-0.0032334324358678224,,
60,4,time_aware_tree,14.402878743788824,22.473957521903372,0.8743202673699444,3.0,5.0
60,4,time_aware_tree,12.197789549797408,21.180745078617335,0.8883680262880136,5.0,5.0
60,4,time_aware_tree,12.108350859092894,21.2292016450954,0.8878566665845542,5.0,10.0
60,4,time_aware_tree,12.515052575179157,21.575131030852916,0.8841721431487886,8.0,5.0
60,4,time_aware_tree,12.577355836849506,21.647869050131167,0.8833898266037661,,5.0
60,5,pooled_mean,56.02244896507069,66.53616438675668,-0.07450628749854027,,
60,5,time_aware_tree,20.166533663242518,30.33625330245412,0.7766338687949168,3.0,5.0
60,5,time_aware_tree,18.0796679393982,28.30288001677122,0.8055738399939398,5.0,5.0
60,5,time_aware_tree,18.20867637821677,28.453903494208156,0.8034933976735864,5.0,10.0
60,5,time_aware_tree,17.695937024598873,28.15982697601385,0.8075342740013818,8.0,5.0
60,5,time_aware_tree,17.7710970464135,28.188382540151444,0.8071437350971813,,5.0
