activity,max_depth,min_samples_leaf,baseline_mae,baseline_rmse,tree_mae,tree_rmse,tree_r2,n_test,n_train
LL_mixed,8.0,20,5.286558358572154,7.546703670917089,4.8943004381604664,6.937544783899896,0.14239333416959699,956,3824
LL_mixed,8.0,50,5.286558358572154,7.546703670917089,4.835224754787158,6.7616660901244146,0.1853257503885266,956,3824
LL_mixed,,5,5.286558358572154,7.546703670917089,5.748966842664541,8.315811042851095,-0.2322129638235555,956,3824
LL_mixed,,10,5.286558358572154,7.546703670917089,5.227544041992224,7.679579219314341,-0.0508758172909789,956,3824
LL_mixed,,20,5.286558358572154,7.546703670917089,5.008911003242924,7.074841797360213,0.10811262880617711,956,3824
LL_mixed,,50,5.286558358572154,7.546703670917089,4.822671788095851,6.804820280290955,0.1748937666223277,956,3824
LL_receive,2.0,5,7.982890738538777,12.911985010693337,8.209326593005173,12.87757810289739,-0.09066333985936548,174,696
LL_receive,2.0,10,7.982890738538777,12.911985010693337,8.209326593005173,12.87757810289739,-0.09066333985936548,174,696
LL_receive,2.0,20,7.982890738538777,12.911985010693337,8.240790657446894,12.872791760542999,-0.08985273433135976,174,696
LL_receive,2.0,50,7.982890738538777,12.911985010693337,8.192409372776781,12.873944758569692,-0.09004797625732519,174,696
LL_receive,3.0,5,7.982890738538777,12.911985010693337,8.49652080067042,13.389649246445641,-0.1791273997135352,174,696
LL_receive,3.0,10,7.982890738538777,12.911985010693337,8.022629175054657,12.844763017335824,-0.08511189072657865,174,696
LL_receive,3.0,20,7.982890738538777,12.911985010693337,8.453387914840151,12.830665874120388,-0.08273137448322387,174,696
LL_receive,3.0,50,7.982890738538777,12.911985010693337,8.114336531545941,12.860415631804837,-0.08775813447760838,174,696
LL_receive,5.0,5,7.982890738538777,12.911985010693337,8.53062947984458,13.421830470840742,-0.18480213591198358,174,696
LL_receive,5.0,10,7.982890738538777,12.911985010693337,8.146531210616999,12.78478092854908,-0.07500110761949608,174,696
LL_receive,5.0,20,7.982890738538777,12.911985010693337,8.553324519276389,13.002231170017474,-0.11188045683181125,174,696
LL_receive,5.0,50,7.982890738538777,12.911985010693337,8.094501482433284,12.875700175831998,-0.09034526190307623,174,696
