seed,scenario,sim_cases,sim_events,rmg_events,mean_turnaround_min,median_turnaround_min,p90_turnaround_min,max_turnaround_min,mean_rmg_service_min,median_rmg_service_min,p90_rmg_service_min,mean_rmg_pre_service_min,median_rmg_pre_service_min,p90_rmg_pre_service_min,rmg_receive_events,mean_rmg_receive_service_min,median_rmg_receive_service_min,p90_rmg_receive_service_min,mean_rmg_receive_pre_service_min,median_rmg_receive_pre_service_min,p90_rmg_receive_pre_service_min,rmg_delivery_events,mean_rmg_delivery_service_min,median_rmg_delivery_service_min,p90_rmg_delivery_service_min,mean_rmg_delivery_pre_service_min,median_rmg_delivery_pre_service_min,p90_rmg_delivery_pre_service_min,mean_inter_arrival_min,zero_inter_arrival_share,arrival_span_min,arrival_rate_per_elapsed_hour,service_events_above_24h,turnaround_cases_above_24h,gate_arrivals,closed_period_gate_arrivals,sunday_gate_arrivals,night_gate_arrivals,arrival_calendar_compliance,demand_multiplier,nominal_cases,experiment
49,calendar_demand_x1.20,2400,7402,1848,31.655416666666667,28.0,52.0,199.0,10.88095238095238,8.0,21.299999999999955,7.964285714285714,5.0,19.0,1133,11.214474845542806,9.0,22.0,8.019417475728156,5.0,18.0,575,8.714782608695652,7.0,17.0,8.0,6.0,19.0,0.5731554814506045,0.6106711129637349,1375.0,104.68363636363635,0,0,2400,0,0,469,True,1.2,2400,calendar_preserving
49,calendar_demand_x1.50,3000,9247,2293,31.761666666666667,28.0,54.0,474.0,11.04797208896642,8.0,21.0,7.889664195377235,5.0,18.0,1393,11.28140703517588,9.0,22.0,7.917444364680546,5.0,17.0,724,8.803867403314918,7.0,18.0,8.0207182320442,6.0,18.0,0.4541513837945982,0.6675558519506503,1362.0,132.11453744493392,0,0,3000,0,0,697,True,1.5,3000,calendar_preserving
49,calendar_demand_x2.00,4000,12318,3070,31.95225,28.0,54.0,399.0,11.280456026058632,9.0,23.0,8.239739413680782,5.0,19.0,1863,11.421900161030596,9.0,22.0,8.474503488996243,6.0,20.0,982,8.895112016293279,6.0,18.0,7.961303462321792,5.0,18.0,0.3483370842710677,0.7154288572143036,1393.0,172.24694903086862,0,0,4000,0,0,926,True,2.0,4000,calendar_preserving
49,calendar_demand_x2.40,4800,14793,3655,31.762916666666666,28.0,54.0,282.0,11.03419972640219,8.0,22.0,8.147469220246238,6.0,19.0,2202,11.334241598546775,9.0,23.0,8.0858310626703,5.0,19.0,1184,8.78885135135135,7.0,17.0,8.24831081081081,5.5,19.700000000000045,0.2965201083559075,0.7518232965201084,1423.0,202.34715390021083,0,0,4800,0,0,996,True,2.4,4800,calendar_preserving
49,calendar_demand_x3.00,6000,18477,4535,32.04783333333334,28.0,55.0,453.0,10.83175303197354,8.0,22.0,8.159206174200662,5.0,19.0,2712,11.035398230088497,9.0,22.0,8.284660766961652,6.0,19.0,1485,8.653872053872053,7.0,17.0,7.8545454545454545,5.0,18.0,0.2413735622603767,0.7871311885314219,1448.0,248.5773480662984,0,0,6000,0,0,1168,True,3.0,6000,calendar_preserving
50,calendar_demand_x1.00,2000,6178,1579,32.143,28.0,53.100000000000136,245.0,10.92716909436352,9.0,22.0,8.16846105129829,6.0,19.0,938,11.430703624733477,9.0,22.0,8.415778251599146,6.0,19.0,513,8.610136452241715,7.0,16.0,7.76803118908382,6.0,18.0,0.6778389194597298,0.5417708854427213,1355.0,88.51660516605166,0,0,2000,0,0,433,True,1.0,2000,calendar_preserving
50,calendar_demand_x1.20,2400,7388,1883,31.72083333333333,28.0,54.0,171.0,10.969198088157196,9.0,22.0,8.078597981943707,6.0,19.0,1110,11.102702702702702,9.0,22.0,8.327927927927927,6.0,19.0,620,8.6,7.0,17.0,7.814516129032258,5.0,19.0,0.5910796165068779,0.5881617340558566,1418.0,101.50916784203103,0,0,2400,0,0,499,True,1.2,2400,calendar_preserving
50,calendar_demand_x1.50,3000,9230,2358,31.892666666666667,28.0,54.0,169.0,10.942324003392706,8.0,22.0,8.11492790500424,5.0,19.0,1404,11.12891737891738,9.0,21.0,8.239316239316238,5.0,19.0,769,8.958387516254877,7.0,18.0,7.785435630689207,5.0,17.200000000000045,0.4694898299433144,0.6575525175058353,1408.0,127.79829545454544,0,0,3000,0,0,638,True,1.5,3000,calendar_preserving
50,calendar_demand_x2.00,4000,12320,3109,32.011,28.0,54.0,535.0,10.95529109038276,9.0,22.0,8.269218398198777,6.0,19.0,1864,11.078862660944203,9.0,21.0,8.430793991416309,6.0,20.0,998,8.79058116232465,7.0,17.0,7.981963927855712,6.0,17.0,0.3558389597399349,0.7149287321830458,1423.0,168.61560084328883,0,0,4000,0,0,907,True,2.0,4000,calendar_preserving
50,calendar_demand_x2.40,4800,14793,3699,32.0225,28.0,54.0,374.0,11.157880508245473,9.0,22.0,8.127602054609353,5.0,19.0,2200,11.503636363636364,9.0,22.0,8.026818181818182,5.0,19.0,1212,8.825907590759076,7.0,17.0,8.303630363036303,6.0,20.0,0.2948530943946655,0.7578662221296103,1415.0,203.4911660777385,0,0,4800,0,0,912,True,2.4,4800,calendar_preserving
